lane,experiment,rust_file,inv_id,coq_theorem,proof_status,coq_file,phd_chapters,empirical_r7,cited_in_tex
L1,BPB tracker / JEPA-T backward,crates/trios-igla-race/src/bpb.rs,INV-1,bpb_decreases_with_real_gradient,Admitted,trinity-clara/proofs/igla/lr_phi_optimality.v,Ch.24,yes,no
L2,ASHA core / prune threshold 3.5,crates/trios-igla-race/src/asha.rs,INV-2,asha_champion_survives,Proven,trinity-clara/proofs/igla/igla_asha_bound.v,Ch.24;Ch.25,yes,no
L3,GF16 floor / d_model>=256,crates/trios-igla-race/src/gf16.rs,INV-3,gf16_safe_domain,Admitted,trinity-clara/proofs/igla/gf16_precision.v,Ch.23;Ch.26,yes,no
L4,NCA dual-band / entropy 1.5-2.8,crates/trios-igla-race/src/nca.rs,INV-4,nca_entropy_stability,Admitted,trinity-clara/proofs/igla/nca_entropy_band.v,Ch.20;Ch.21,yes,no
L5,PHI invariants core,crates/trios-igla-race/src/invariants.rs,INV-5,lucas_closure_gf16,Admitted,trinity-clara/proofs/igla/lucas_closure_gf16.v,Ch.29,yes,no
L6,EMA decay / cos schedule,crates/trios-igla-race/src/ema.rs,INV-6,ema_decay_valid,TODO,(none),Ch.20;Ch.27,mixed,no
L7,Victory gate / Welch t-test alpha=0.01,crates/trios-igla-race/src/victory.rs,INV-7,victory_implies_distinct_clean,Admitted (4Qed+3witnesses),trinity-clara/proofs/igla/igla_found_criterion.v,Ch.24;Ch.25,yes,no
L8,LR sampler / lr=alpha_phi/phi^3,crates/trios-igla-race/src/sampler.rs,INV-1lr,lr_phi_band,Proven,trinity-clara/proofs/igla/lr_convergence.v,Ch.24,yes,no
L9,QK head / gain=phi^2,crates/trios-igla-race/src/attn.rs,INV-9,qk_gain_phi_sq,TODO,(none),Ch.22;Ch.24,yes,no
L10,Trinity rungs / 1000*3^k,crates/trios-igla-race/src/rungs.rs,INV-12,asha_rungs_trinity,Proven,trinity-clara/proofs/igla/igla_asha_bound.v,Ch.23;Ch.27,theory,no
L11,Worker pool / 4-16 envs,crates/trios-igla-race/src/race.rs,(orchestration),(n/a),(n/a),(n/a),Ch.25,yes,no
L12,CI hygiene / L-R14 gate,.github/workflows/coq-check.yml,(gate),(n/a),(n/a),(n/a),Ch.29,yes,no
L13,Rainbow Bridge / 7 channels,crates/trios-rainbow-bridge,INV-8,rainbow_bridge_consistency,Admitted,trinity-clara/proofs/igla/rainbow_bridge_consistency.v,Ch.18;Ch.27,yes,no
T2-02,NCA aux loss,crates/trios-train-cpu/src/nca_loss.rs (planned),INV-4,nca_entropy_stability,Admitted,trinity-clara/proofs/igla/nca_entropy_band.v,Ch.21,yes,no
T2-04,QK-Gain phi^2,crates/trios-igla-race/src/attn.rs,INV-9,qk_gain_phi_sq,TODO,(none),Ch.22;Ch.24,yes,no
T2-07b,GF16 d_model=384,crates/trios-igla-race/src/gf16.rs,INV-3,gf16_safe_domain,Admitted,trinity-clara/proofs/igla/gf16_precision.v,Ch.23;Ch.26,yes,no
FINAL,3-seed champion sweep,crates/trios-igla-race/src/bin/champion_run.rs,INV-7,victory_implies_distinct_clean,Admitted,trinity-clara/proofs/igla/igla_found_criterion.v,Ch.24;Ch.25;Ch.26;Ch.28;Ch.29,yes,no
